Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
66,"K Brodersen, N Hammami, TR Katapally","Smartphone use and mental health among youth: it is time to develop smartphone-specific screen time guidelines",2022,"Youth","mdpi.com","https://www.mdpi.com/2673-995X/2/1/3","https://scholar.google.com/scholar?cites=13960013604721853863&as_sdt=2005&sciodt=2007&hl=en",1,"2026-04-01 00:54:51","HTML","","",,,,,,66,16.50,22,3,4,"… the association between youth smartphone use and mental health problems by … youth who reported high smartphone use in general were more likely to report poorer mental health…","https://www.mdpi.com/2673-995X/2/1/3","https://scholar.google.com/scholar?q=related:pwURAWnuu8EJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
100,"JM Vaterlaus, A Aylward, D Tarabochia…","“A smartphone made my life easier”: An exploratory study on age of adolescent smartphone acquisition and well-being",2021,"Computers in Human …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0747563220303125","https://scholar.google.com/scholar?cites=13959166744259201618&as_sdt=2005&sciodt=2007&hl=en",2,"2026-04-01 00:54:51","","","",,,,,,100,20.00,25,4,5,"… to determine if age of smartphone acquisition was predictive of well-being outcomes in later … age of smartphone acquisition was largely not predictive of later well-being (ie, depression, …","","https://scholar.google.com/scholar?q=related:UgoE8DHsuMEJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
152,"FS Pereira, GG Bevilacqua…","Impact of problematic smartphone use on mental health of adolescent students: Association with mood, symptoms of depression, and physical activity",2020,"Cyberpsychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1089/cyber.2019.0257","https://scholar.google.com/scholar?cites=2779335836956102452&as_sdt=2005&sciodt=2007&hl=en",3,"2026-04-01 00:54:51","","10.1089/cyber.2019.0257","",,,,,,152,25.33,51,3,6,"… smartphone use by adolescent students leads to decreased physical activity, which can lead to impaired mental health… problematic smartphone use and mood, symptoms of depression, …","","https://scholar.google.com/scholar?q=related:NA9I2TcvkiYJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
187,"SY Yang, CY Lin, YC Huang…","Gender differences in the association of smartphone use with the vitality and mental health of adolescent students",2018,"Journal of American …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07448481.2018.1454930","https://scholar.google.com/scholar?cites=12449995903723599934&as_sdt=2005&sciodt=2007&hl=en",4,"2026-04-01 00:54:51","","10.1080/07448481.2018.1454930","",,,,,,187,23.38,47,4,8,"… degrees of smartphone dependence and smartphone influence… of smartphone use on weekends and the vitality/mental health … smartphone dependence and the vitality/mental health of …","","https://scholar.google.com/scholar?q=related:PniDwE9Fx6wJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
140,"LJ Bry, T Chou, E Miguel, JS Comer","Consumer smartphone apps marketed for child and adolescent anxiety: a systematic review and content analysis",2018,"Behavior therapy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0005789417300849","https://scholar.google.com/scholar?cites=13925334330659698627&as_sdt=2005&sciodt=2007&hl=en",5,"2026-04-01 00:54:51","","","",,,,,,140,17.50,35,4,8,"… To increase the reach of mental health care, … for anxiety in youth. Systematic inventory of the Google Play Store and Apple Store using keyword searches for child and adolescent anxiety …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6082393/pdf/nihms896370.pdf","https://scholar.google.com/scholar?q=related:w_eFTcu5QMEJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
23,"CJ Funkhouser, E Trivedi, LY Li…","Detecting adolescent depression through passive monitoring of linguistic markers in smartphone communication",2024,"Journal of Child …","Wiley Online Library","https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/jcpp.13931","https://scholar.google.com/scholar?cites=15290997414702573376&as_sdt=2005&sciodt=2007&hl=en",6,"2026-04-01 00:54:51","","10.1111/jcpp.13931","",,,,,,23,11.50,6,4,2,"… associations between smartphone communication and adolescent depression could inform … This study tested whether linguistic features extracted from smartphone communication …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11161327/","https://scholar.google.com/scholar?q=related:QGfDLCKJNNQJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
18,"S Marin-Dragu, A Forbes, S Sheikh, RS Iyer…","Associations of active and passive smartphone use with measures of youth mental health during the COVID-19 pandemic",2023,"Psychiatry …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165178123002482","https://scholar.google.com/scholar?cites=16586236438507612610&as_sdt=2005&sciodt=2007&hl=en",7,"2026-04-01 00:54:51","","","",,,,,,18,6.00,4,5,3,"… use, would be associated with worse mental health in youth and whether an active form of … targeting passive smartphone use may contribute to improving the mental health of youth. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC10256630/pdf/main.pdf","https://scholar.google.com/scholar?q=related:wunixSkmLuYJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
48,"SH Li, MR Achilles, S Spanos, S Habak…","A cognitive behavioural therapy smartphone app for adolescent depression and anxiety: co-design of ClearlyMe",2022,"The Cognitive …","cambridge.org","https://www.cambridge.org/core/journals/the-cognitive-behaviour-therapist/article/cognitive-behavioural-therapy-smartphone-app-for-adolescent-depression-and-anxiety-codesign-of-clearlyme/062ACEC2F0323E7E1FA7EA18B1DC1CC9","https://scholar.google.com/scholar?cites=5971305415939959577&as_sdt=2005&sciodt=2007&hl=en",8,"2026-04-01 00:54:51","","","",,,,,,48,12.00,10,5,4,"… to reduce depression and anxiety symptoms in adolescents. The aim of this study was to design a new CBT smartphone app (ClearlyMe) that targets depressive and anxiety symptoms …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/062ACEC2F0323E7E1FA7EA18B1DC1CC9/S1754470X22000095a.pdf/div-class-title-a-cognitive-behavioural-therapy-smartphone-app-for-adolescent-depression-and-anxiety-co-design-of-clearlyme-div.pdf","https://scholar.google.com/scholar?q=related:Gat3cqNW3lIJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
84,"RD Stoll, AA Pina, K Gary, A Amresh","Usability of a smartphone application to support the prevention and early intervention of anxiety in youth",2017,"Cognitive and behavioral practice","Elsevier","https://www.sciencedirect.com/science/article/pii/S1077722917300032","https://scholar.google.com/scholar?cites=8702327171862285897&as_sdt=2005&sciodt=2007&hl=en",9,"2026-04-01 00:54:51","","","",,,,,,84,9.33,21,4,9,"… prevention efforts for child anxiety, since program effects are … of a smartphone application (app) corresponding to an indicated prevention and early intervention targeting youth anxiety. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5648068/pdf/nihms-764095.pdf","https://scholar.google.com/scholar?q=related:Sc4UtnTgxHgJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
81,"P Wang, S Liu, M Zhao, X Yang, G Zhang, X Chu…","How is problematic smartphone use related to adolescent depression? A moderated mediation analysis",2019,"Children and Youth …","Elsevier","https://www.sciencedirect.com/science/article/pii/S019074091930369X","https://scholar.google.com/scholar?cites=271710924474357149&as_sdt=2005&sciodt=2007&hl=en",10,"2026-04-01 00:54:51","","","",,,,,,81,11.57,12,7,7,"… problematic smartphone use and adolescent depression, and (b) … problematic smartphone use and adolescent depression. This … smartphone use was positively related to adolescent …","","https://scholar.google.com/scholar?q=related:nRXjbqVPxQMJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007"
