"label","title","author","year","source","publisher","volume","issue","start_page","end_page","doi","issn","abstract","source_file","articleurl","citationurl","citesurl","fulltexturl","relatedurl","link","title_clean","author_clean","row_number_in_group","matches","language","text","citation","screened_titles","notes"
"ref_2130","gender, exposure to news, knowledge about climate change, and prosociality predict climate anxiety scores in mexican students","Ramírez-López, AS; Rosetti, MF; Poma, A",2023,"ECOPSYCHOLOGY",NA,"15","2","184","192","10.1089/eco.2022.0049","1942-9347","Climate change represents a threat to the future of young people everywhere; from a mental health point of view, emotions such as fear and intense worry can manifest themselves as a construct termed climate anxiety (CA). Using an online survey, we evaluated the general anxiety and CA of a sample of university students [n = 461, 64.5% identified as women; mean age (standard deviation) = 21.4 (1.6)] as well as a diverse set of psychosocial variables (i.e., exposure to social media and news, knowledge about climate change, prosociality, and their disposition to donate to conservation efforts) to obtain a profile of potential measures associated with vulnerability to CA. Using generalized linear models, we found that participants who identified as women, spent more time reading news sites, had more knowledge about climate change, were more prosocial and more willing to donate to conservation efforts had higher CA scores, but not more generalized anxiety. In addition, we found that students whose courses involved information about climate change had higher CA scores. Identifying the characteristics of individuals vulnerable to CA may help address their negative feelings so that they can overcome anxiety and turn to meaningful positive action.","wos2000.ris",NA,NA,NA,NA,NA,NA,"gender, exposure to news, knowledge about climate change, and prosociality predict climate anxiety scores in mexican students","ramírez-lópez, as; rosetti, mf; poma, a",NA,2119,"en","gender, exposure to news, knowledge about climate change, and prosociality predict climate anxiety scores in mexican students climate change represents a threat to the future of young people everywhere; from a mental health point of view, emotions such as fear and intense worry can manifest themselves as a construct termed climate anxiety (ca). using an online survey, we evaluated the general anxiety and ca of a sample of university students [n = 461, 64.5% identified as women; mean age (standard deviation) = 21.4 (1.6)] as well as a diverse set of psychosocial variables (i.e., exposure to social media and news, knowledge about climate change, prosociality, and their disposition to donate to conservation efforts) to obtain a profile of potential measures associated with vulnerability to ca. using generalized linear models, we found that participants who identified as women, spent more time reading news sites, had more knowledge about climate change, were more prosocial and more willing to donate to conservation efforts had higher ca scores, but not more generalized anxiety. in addition, we found that students whose courses involved information about climate change had higher ca scores. identifying the characteristics of individuals vulnerable to ca may help address their negative feelings so that they can overcome anxiety and turn to meaningful positive action.","Gender, Exposure to News, Knowledge About Climate Change, and Prosociality Predict Climate Anxiety Scores in Mexican Students.","selected",NA
"ref_2364","improving the science of adolescent social media and mental health: challenges and opportunities of smartphone-based mobile sensing and digital …","JL Hamilton, MJ Dreier, B Caproni, J Fedor…",2025,"Journal of Technology in …","Springer",NA,NA,NA,NA,"10.1007/s41347-024-00443-5",NA,"… The impact of social media (SM) use (‘screentime’) on adolescent mental health has been … the dynamic interplay of SM use and mental health. Smartphone-based mobile sensing offers …",NA,"https://link.springer.com/article/10.1007/s41347-024-00443-5",NA,"https://scholar.google.com/scholar?cites=5456512987296048546&as_sdt=2005&sciodt=2007&hl=en","https://link.springer.com/article/10.1007/s41347-024-00443-5","https://scholar.google.com/scholar?q=related:oiUW8KZtuUsJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007",NA,"improving the science of adolescent social media and mental health: challenges and opportunities of smartphone-based mobile sensing and digital …","jl hamilton, mj dreier, b caproni, j fedor…",NA,2350,"en","improving the science of adolescent social media and mental health: challenges and opportunities of smartphone-based mobile sensing and digital … … the impact of social media (sm) use (‘screentime’) on adolescent mental health has been … the dynamic interplay of sm use and mental health. smartphone-based mobile sensing offers …","Improving the Science of Adolescent Social Media and Mental Health: Challenges and Opportunities of Smartphone-Based Mobile Sensing and Digital …","selected",NA
"ref_0911","characteristic structure of the relationships among depression, maladaptive cognition, and internet addiction and its temporal evolution in university students: a network analysis","Tian, Y; Ding, HJ; Li, YF",2025,"STRESS AND HEALTH",NA,"41","1","","","10.1002/smi.70000","1532-3005; 1532-2998","This study explored the structure and temporal evolution of the relationship among depression, maladaptive cognition, and internet addiction (DMI) among university students by focusing on topological and dynamic properties in a network analysis. A 3-year longitudinal survey was conducted with 873 university students (Mage = 18.32, SD = 0.74). The results of network analysis showed ""compulsive internet use and withdrawal symptoms"" as part of internet addiction and ""depressive emotions"" as part of depression were the core characteristics in the DMI relational structure. Additionally, ""compulsive internet use and withdrawal symptoms"" was most pronounced for freshmen, whereas ""depressive emotions"" were most pronounced for sophomores and juniors. These findings suggest that interventions addressing DMI among university students should not only focus on the key aspects of ""compulsive internet use and withdrawal symptoms"" and ""depressive emotions,"" but also consider differences between students at different years of study.","wos2000.ris",NA,NA,NA,NA,NA,NA,"characteristic structure of the relationships among depression, maladaptive cognition, and internet addiction and its temporal evolution in university students: a network analysis","tian, y; ding, hj; li, yf",NA,906,"en","characteristic structure of the relationships among depression, maladaptive cognition, and internet addiction and its temporal evolution in university students: a network analysis this study explored the structure and temporal evolution of the relationship among depression, maladaptive cognition, and internet addiction (dmi) among university students by focusing on topological and dynamic properties in a network analysis. a 3-year longitudinal survey was conducted with 873 university students (mage = 18.32, sd = 0.74). the results of network analysis showed ""compulsive internet use and withdrawal symptoms"" as part of internet addiction and ""depressive emotions"" as part of depression were the core characteristics in the dmi relational structure. additionally, ""compulsive internet use and withdrawal symptoms"" was most pronounced for freshmen, whereas ""depressive emotions"" were most pronounced for sophomores and juniors. these findings suggest that interventions addressing dmi among university students should not only focus on the key aspects of ""compulsive internet use and withdrawal symptoms"" and ""depressive emotions,"" but also consider differences between students at different years of study.","Characteristic Structure of the Relationships among Depression, Maladaptive Cognition, and Internet Addiction and Its Temporal Evolution in University Students: a Network Analysis.","selected",NA
"ref_2623","let me check my phone: smartphone addiction and its links to life satisfaction and psychological resilience","Kartol, A; Üztemur, S",2025,"BRITISH JOURNAL OF GUIDANCE & COUNSELLING",NA,"53","2","167","178","10.1080/03069885.2024.2436030","0306-9885; 1469-3534","Smartphone addiction is a major mental health problem that has risen recently. Students are particularly at risk for this addiction. This study examines the mediating role of psychological resilience between smartphone addiction and life satisfaction in university students. The study group consisted of 324 university students. Smartphone Addiction Scale, Life Satisfaction Scale and Psychological Resilience Scale were used as data collection instruments. As a result of the research, it was found that as the level of smartphone addiction among university students increased, their life satisfaction and psychological resilience decreased. In addition, psychological resilience was found to significantly mediate between smartphone addiction and life satisfaction. It is suggested that preventive mental health studies focusing on increasing psychological resilience will help to reduce smartphone addiction as well as increase life satisfaction.","wos2000.ris",NA,NA,NA,NA,NA,NA,"let me check my phone: smartphone addiction and its links to life satisfaction and psychological resilience","kartol, a; üztemur, s",NA,2609,"en","let me check my phone: smartphone addiction and its links to life satisfaction and psychological resilience smartphone addiction is a major mental health problem that has risen recently. students are particularly at risk for this addiction. this study examines the mediating role of psychological resilience between smartphone addiction and life satisfaction in university students. the study group consisted of 324 university students. smartphone addiction scale, life satisfaction scale and psychological resilience scale were used as data collection instruments. as a result of the research, it was found that as the level of smartphone addiction among university students increased, their life satisfaction and psychological resilience decreased. in addition, psychological resilience was found to significantly mediate between smartphone addiction and life satisfaction. it is suggested that preventive mental health studies focusing on increasing psychological resilience will help to reduce smartphone addiction as well as increase life satisfaction.","Let Me Check My Phone: Smartphone Addiction and Its Links to Life Satisfaction and Psychological Resilience.","selected",NA
"ref_1011","community-derived recommendations for improving gender affirmation of black and latine transgender/nonbinary youth","Vance, SR Jr; Venegas, L; Johnson, J; Sinha, A; Chaphekar, A; Sevelius, J",2024,"ANNALS OF BEHAVIORAL MEDICINE",NA,"58","8","517","526","10.1093/abm/kaae036","0883-6612; 1532-4796","Background Gender affirmation is a process by which gender-diverse individuals are supported in their gender identity. Parents are critical in how gender-diverse youth, including Black and Latine transgender/nonbinary youth (BLTY), access various forms of gender affirmation-for example, social and medical transition. Culturally relevant supports are needed to bolster how BLTY and their parents navigate gender affirmation.Purpose This study aimed to explore recommendations for aiding BLTY and parents in navigating the youth's gender journey.Methods Semi-structured interviews were conducted with parents of BLTY, BLTY, and BLT young adults (BLTYAs) recruited from clinics, community organizations, and social media. Interviews focused on gender affirmation and recommendations to promote BLTY's gender affirmation. Primary and secondary analysts coded transcripts using a priori and emergent codes. For this analysis, excerpts pertaining to recommended supports were analyzed to identify themes.Results Ten parents of BLTY, 10 BLTY (14-18 years), and 23 BLTYAs (18-30 years) participated. Participants provided recommendations at different socio-ecological levels. On the societal level, participants recommended improvements in media representation of racial and ethnic minority gender-diverse individuals. For organizations, participants recommended more clinicians who shared minoritized identities, clinicians knowledgeable in gender-affirming care, affordability of gender-affirming services, and school-based education regarding gender diversity. On interpersonal/individual levels, they suggested culturally informed peer support among BLTY and parents, including support groups, peer mentors, and camps with individuals who share their minoritized identities.Conclusions Participants provided salient insights to supporting gender affirmation of BLTY, which can inform intervention development for BLTY and their families. Black and Latine transgender/nonbinary youth (BLTY) have multiple minoritized identities as they are both racial/ethnic minorities and are gender diverse. These youth face unique challenges in being supported in their gender identity, and their parents face barriers to supporting their gender journey. Unfortunately, approaches to assisting BLTY and their parents in navigating this journey are poorly understood. We interviewed 10 BLTY, 10 related parents of the BLTY, and 23 Black and Latine transgender/nonbinary young adults (BLTYAs) recruited from clinics, community organizations, and social media. In this study, we explored their recommendations for better supporting and affirming BLTY. These recommendations targeted different areas of BLTY's lives. On a broader societal level, participants advocated media representation of gender-diverse individuals of color. For medical and mental health organizations, participants recommended more clinicians knowledgeable in supporting gender-diverse youth and more clinicians who share similar backgrounds with BLTY. For interpersonal and individual relationships, they recommended peer support groups and mentors for BLTY and parents of BLTY. These comprehensive recommendations from BLTY, parents, and BLTYAs can be implemented to better support BLTY in their gender identity through culturally based interventions in different domains.","wos2000.ris",NA,NA,NA,NA,NA,NA,"community-derived recommendations for improving gender affirmation of black and latine transgender/nonbinary youth","vance, sr jr; venegas, l; johnson, j; sinha, a; chaphekar, a; sevelius, j",NA,1006,"en","community-derived recommendations for improving gender affirmation of black and latine transgender/nonbinary youth background gender affirmation is a process by which gender-diverse individuals are supported in their gender identity. parents are critical in how gender-diverse youth, including black and latine transgender/nonbinary youth (blty), access various forms of gender affirmation-for example, social and medical transition. culturally relevant supports are needed to bolster how blty and their parents navigate gender affirmation.purpose this study aimed to explore recommendations for aiding blty and parents in navigating the youth's gender journey.methods semi-structured interviews were conducted with parents of blty, blty, and blt young adults (bltyas) recruited from clinics, community organizations, and social media. interviews focused on gender affirmation and recommendations to promote blty's gender affirmation. primary and secondary analysts coded transcripts using a priori and emergent codes. for this analysis, excerpts pertaining to recommended supports were analyzed to identify themes.results ten parents of blty, 10 blty (14-18 years), and 23 bltyas (18-30 years) participated. participants provided recommendations at different socio-ecological levels. on the societal level, participants recommended improvements in media representation of racial and ethnic minority gender-diverse individuals. for organizations, participants recommended more clinicians who shared minoritized identities, clinicians knowledgeable in gender-affirming care, affordability of gender-affirming services, and school-based education regarding gender diversity. on interpersonal/individual levels, they suggested culturally informed peer support among blty and parents, including support groups, peer mentors, and camps with individuals who share their minoritized identities.conclusions participants provided salient insights to supporting gender affirmation of blty, which can inform intervention development for blty and their families. black and latine transgender/nonbinary youth (blty) have multiple minoritized identities as they are both racial/ethnic minorities and are gender diverse. these youth face unique challenges in being supported in their gender identity, and their parents face barriers to supporting their gender journey. unfortunately, approaches to assisting blty and their parents in navigating this journey are poorly understood. we interviewed 10 blty, 10 related parents of the blty, and 23 black and latine transgender/nonbinary young adults (bltyas) recruited from clinics, community organizations, and social media. in this study, we explored their recommendations for better supporting and affirming blty. these recommendations targeted different areas of blty's lives. on a broader societal level, participants advocated media representation of gender-diverse individuals of color. for medical and mental health organizations, participants recommended more clinicians knowledgeable in supporting gender-diverse youth and more clinicians who share similar backgrounds with blty. for interpersonal and individual relationships, they recommended peer support groups and mentors for blty and parents of blty. these comprehensive recommendations from blty, parents, and bltyas can be implemented to better support blty in their gender identity through culturally based interventions in different domains.","Community-Derived Recommendations for Improving Gender Affirmation of Black and Latine Transgender/Nonbinary Youth.","selected",NA
"ref_4562","the beauty and the beast of social media: an interpretative phenomenological analysis of the impact of adolescents' social media experiences on their mental health during the covid-19 pandemic","Keles, B; Grealish, A; Leamy, M",2024,"CURRENT PSYCHOLOGY",NA,"43","1","96","112","10.1007/s12144-023-04271-3","1046-1310; 1936-4733","Despite extensive research, the mental health implication of social media in adolescents is not yet understood due to mixed and inconsistent findings and more in-depth qualitative studies are needed to expand our understanding of the impact of social media on adolescent mental health during the Covid-19 pandemic. The purpose of this study was to explore why and how adolescents use social media, adolescents' lived experiences on social media, how they make sense of these experiences having impact on their mental health, and the influence of the Covid-19 pandemic on their use of social media and mental health. In-depth interviews were conducted with eleven adolescents aged 14-16 (five female, six male) across England. The interviews were audio- recorded, transcribed verbatim and analysed using interpretative phenomenological analysis. Two key themes were identified: the beauty of social media that captured positive experiences and emotions of adolescents and the beast of social media that captured negative experiences and emotions. From the adolescents' accounts, social media has both positive and negative impacts on their mental health, but mostly positive impacts during the Covid-19 pandemic. The results were discussed in relation to the study aims and previous study findings. Strengths and methodological limitations of the study, implications for future research that emerged from the study were discussed.","wos3000.ris",NA,NA,NA,NA,NA,NA,"the beauty and the beast of social media: an interpretative phenomenological analysis of the impact of adolescents' social media experiences on their mental health during the covid-19 pandemic","keles, b; grealish, a; leamy, m",NA,4534,"en","the beauty and the beast of social media: an interpretative phenomenological analysis of the impact of adolescents' social media experiences on their mental health during the covid-19 pandemic despite extensive research, the mental health implication of social media in adolescents is not yet understood due to mixed and inconsistent findings and more in-depth qualitative studies are needed to expand our understanding of the impact of social media on adolescent mental health during the covid-19 pandemic. the purpose of this study was to explore why and how adolescents use social media, adolescents' lived experiences on social media, how they make sense of these experiences having impact on their mental health, and the influence of the covid-19 pandemic on their use of social media and mental health. in-depth interviews were conducted with eleven adolescents aged 14-16 (five female, six male) across england. the interviews were audio- recorded, transcribed verbatim and analysed using interpretative phenomenological analysis. two key themes were identified: the beauty of social media that captured positive experiences and emotions of adolescents and the beast of social media that captured negative experiences and emotions. from the adolescents' accounts, social media has both positive and negative impacts on their mental health, but mostly positive impacts during the covid-19 pandemic. the results were discussed in relation to the study aims and previous study findings. strengths and methodological limitations of the study, implications for future research that emerged from the study were discussed.","The Beauty and the Beast of Social Media: An Interpretative Phenomenological Analysis of the Impact of Adolescents' Social Media Experiences on their Mental Health During the Covid-19 Pandemic.","selected",NA
"ref_5638","within-person reciprocal relations among academic stress, self-esteem, and problematic internet use in chinese adolescents","Chen, ZH; Guo, C",2026,"JOURNAL OF YOUTH AND ADOLESCENCE",NA,"55","2","431","447","10.1007/s10964-026-02318-9","0047-2891; 1573-6601","Although prior research has documented associations between academic stress and problematic internet use, it remains unclear whether these relations reflect stable between-person differences or dynamic within-person resource depletion processes. To address this, the present study utilized three waves of longitudinal data collected from 1709 adolescents (M-age = 15.19, SD = 0.51; 50.09% female). A random intercept cross-lagged panel model was employed to disentangle stable between-person differences from within-person processes. Results indicated that at the within-person level, academic stress and problematic internet use were reciprocally and positively associated over time. Simultaneously, academic stress and self-esteem showed a reciprocal negative association. However, self-esteem did not significantly mediate the relationship between academic stress and problematic internet use at the within-person level. These longitudinal associations were invariant across sex. These findings suggest that problematic internet use is not merely predicted by academic stress but is also a significant predictor of subsequent elevations in stress.","wos3981.ris",NA,NA,NA,NA,NA,NA,"within-person reciprocal relations among academic stress, self-esteem, and problematic internet use in chinese adolescents","chen, zh; guo, c",NA,5604,"en","within-person reciprocal relations among academic stress, self-esteem, and problematic internet use in chinese adolescents although prior research has documented associations between academic stress and problematic internet use, it remains unclear whether these relations reflect stable between-person differences or dynamic within-person resource depletion processes. to address this, the present study utilized three waves of longitudinal data collected from 1709 adolescents (m-age = 15.19, sd = 0.51; 50.09% female). a random intercept cross-lagged panel model was employed to disentangle stable between-person differences from within-person processes. results indicated that at the within-person level, academic stress and problematic internet use were reciprocally and positively associated over time. simultaneously, academic stress and self-esteem showed a reciprocal negative association. however, self-esteem did not significantly mediate the relationship between academic stress and problematic internet use at the within-person level. these longitudinal associations were invariant across sex. these findings suggest that problematic internet use is not merely predicted by academic stress but is also a significant predictor of subsequent elevations in stress.","Within-Person Reciprocal Relations among Academic Stress, Self-Esteem, and Problematic Internet Use in Chinese Adolescents.","selected",NA
"ref_5025","the relation between college students' social anxiety and mobile phone addiction: the mediating role of regulatory emotional self-efficacy and subjective well-being","Xiao, ZL; Huang, JH",2022,"FRONTIERS IN PSYCHOLOGY",NA,"13","","","","10.3389/fpsyg.2022.861527","1664-1078","The present study explores the underlying mechanism of the relationship between college students' social anxiety and mobile phone addiction. Adopting college students' social anxiety scale, regulatory emotional self-efficacy scale, subjective well-being scale and mobile phone addiction scale, this research tested valid samples of 680 Chinese college students. The results indicated that social anxiety exerted a significant and positive impact on mobile phone addiction. Regulatory emotional self-efficacy played a partial mediating role between social anxiety and mobile phone addiction. Subjective well-being also played a partial mediating role between social anxiety and mobile phone addiction. Moreover, both regulatory emotional self-efficacy and subjective well-being were found to play a chain mediating role between social anxiety and mobile phone addiction. The study provides valuable insights into the impact of college students' social anxiety on mobile phone addiction.","wos1000.ris",NA,NA,NA,NA,NA,NA,"the relation between college students' social anxiety and mobile phone addiction: the mediating role of regulatory emotional self-efficacy and subjective well-being","xiao, zl; huang, jh",NA,4997,"en","the relation between college students' social anxiety and mobile phone addiction: the mediating role of regulatory emotional self-efficacy and subjective well-being the present study explores the underlying mechanism of the relationship between college students' social anxiety and mobile phone addiction. adopting college students' social anxiety scale, regulatory emotional self-efficacy scale, subjective well-being scale and mobile phone addiction scale, this research tested valid samples of 680 chinese college students. the results indicated that social anxiety exerted a significant and positive impact on mobile phone addiction. regulatory emotional self-efficacy played a partial mediating role between social anxiety and mobile phone addiction. subjective well-being also played a partial mediating role between social anxiety and mobile phone addiction. moreover, both regulatory emotional self-efficacy and subjective well-being were found to play a chain mediating role between social anxiety and mobile phone addiction. the study provides valuable insights into the impact of college students' social anxiety on mobile phone addiction.","The Relation Between College Students' Social Anxiety and Mobile Phone Addiction: The Mediating Role of Regulatory Emotional Self-Efficacy and Subjective Well-Being.","selected",NA
"ref_3299","perceived stress and cyberloafing among college students: the mediating roles of fatigue and negative coping styles","Chen Y.; Chen H.; Andrasik F.; Gu C.",2021,"Sustainability (Switzerland)",NA,"13","8","","","10.3390/su13084468",NA,"Cyberloafing has increasingly attracted the attention of scholars because of the widespread use of digital devices in educational environments. This research was conducted to investigate the roles of fatigue and negative coping styles in mediating the relationship between perceived stress and cyberloafing. A total of 730 undergraduates (reduced to 716 due to incomplete data) completed self-report questionnaires measuring perceived stress, fatigue, negative coping styles, and cyberloafing. Perceived stress was shown to be a significant predictor of cyberloafing. Furthermore, negative coping styles played a unique mediating role and fatigue and negative coping styles exerted a sequential mediating effect on the association between perceived stress and cyberloafing. We envision the findings as being helpful in guiding educators develop interventions for minimizing cyberloafing by college students and its disrupting effects. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104929982&doi=10.3390%2Fsu13084468&partnerID=40&md5=85c3541cdbd63f3ffd2028339d63a147","perceived stress and cyberloafing among college students: the mediating roles of fatigue and negative coping styles","chen y.; chen h.; andrasik f.; gu c.",NA,3281,"en","perceived stress and cyberloafing among college students: the mediating roles of fatigue and negative coping styles cyberloafing has increasingly attracted the attention of scholars because of the widespread use of digital devices in educational environments. this research was conducted to investigate the roles of fatigue and negative coping styles in mediating the relationship between perceived stress and cyberloafing. a total of 730 undergraduates (reduced to 716 due to incomplete data) completed self-report questionnaires measuring perceived stress, fatigue, negative coping styles, and cyberloafing. perceived stress was shown to be a significant predictor of cyberloafing. furthermore, negative coping styles played a unique mediating role and fatigue and negative coping styles exerted a sequential mediating effect on the association between perceived stress and cyberloafing. we envision the findings as being helpful in guiding educators develop interventions for minimizing cyberloafing by college students and its disrupting effects. © 2021 by the authors. licensee mdpi, basel, switzerland.","Perceived Stress and Cyberloafing among College Students: The Mediating Roles of Fatigue and Negative Coping Styles.","selected",NA
"ref_2981","motivations for active and passive social media use and their relation to wellbeing","Seidman, G; Hudak, LM; Langlais, M",2025,"HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES",NA,"2025","1","","","10.1155/hbe2/8812526","2578-1863","The present research examined if active and passive social media uses are determined by different motivations and the extent to which these uses and motivations predict wellbeing. Two online surveys (total N = 480), one using a sample of adults and the other using an undergraduate sample, showed that active use has two components: self-presentational and other-oriented. In both studies, active self-presentational use was primarily motivated by attention seeking, whereas boredom and fear of missing out (FoMO) were the main motivators for passive use. Both active and passive uses were motivated by a desire for connection. In both studies, connection motives were associated with greater wellbeing, while disconnection motives (assessed in Study 2 only) were associated with poorer wellbeing. FoMO was the most consistent predictor of lower wellbeing, but Study 2 revealed that this association was largely explained by trait loneliness. Attention seeking predicted greater wellbeing and boredom predicted lower wellbeing among the adult but not the college student sample.","wos2000.ris",NA,NA,NA,NA,NA,NA,"motivations for active and passive social media use and their relation to wellbeing","seidman, g; hudak, lm; langlais, m",NA,2965,"en","motivations for active and passive social media use and their relation to wellbeing the present research examined if active and passive social media uses are determined by different motivations and the extent to which these uses and motivations predict wellbeing. two online surveys (total n = 480), one using a sample of adults and the other using an undergraduate sample, showed that active use has two components: self-presentational and other-oriented. in both studies, active self-presentational use was primarily motivated by attention seeking, whereas boredom and fear of missing out (fomo) were the main motivators for passive use. both active and passive uses were motivated by a desire for connection. in both studies, connection motives were associated with greater wellbeing, while disconnection motives (assessed in study 2 only) were associated with poorer wellbeing. fomo was the most consistent predictor of lower wellbeing, but study 2 revealed that this association was largely explained by trait loneliness. attention seeking predicted greater wellbeing and boredom predicted lower wellbeing among the adult but not the college student sample.","Motivations for Active and Passive Social Media Use and their Relation to Wellbeing.","selected",NA
